,UtcTime,ProcessId,EventID,User,Image,ImageLoaded,CommandLine,ParentImage,ParentCommandLine,DestinationPort,Protocol,QueryName,TargetFilename,TargetObject
2550,2020-05-12 14:54:29.808,1520,7,,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,C:\Windows\assembly\NativeImages_v4.0.30319_64\System.Xml\95eca487669e18143c3a7266e929ddfd\System.Xml.ni.dll,,,,,,,,
2551,2020-05-12 14:54:29.793,1520,7,,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,C:\Windows\assembly\NativeImages_v4.0.30319_64\System.Dired13b18a9#\1c735d614244a72015ac8c57228f4fab\System.DirectoryServices.ni.dll,,,,,,,,
2552,2020-05-12 14:54:29.793,1520,11,,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,,,,,,,,C:\Users\anon\AppData\Local\Temp\__PSScriptPolicyTest_05venmuh.sfm.psm1,
2553,2020-05-12 14:54:29.793,1520,7,,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,C:\Windows\assembly\NativeImages_v4.0.30319_64\System.Management\38ef9efe4b4014a4741d4121ed52c124\System.Management.ni.dll,,,,,,,,
2554,2020-05-12 14:54:29.793,1520,11,,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,,,,,,,,C:\Users\anon\AppData\Local\Temp\__PSScriptPolicyTest_ozxha2tc.mp0.ps1,
2555,2020-05-12 14:54:29.793,1520,7,,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,C:\Windows\System32\wldp.dll,,,,,,,,
2556,2020-05-12 14:54:29.793,1520,7,,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,C:\Windows\assembly\NativeImages_v4.0.30319_64\Microsoft.Mf49f6405#\568c843a2159d22391f14ec8680868a6\Microsoft.Management.Infrastructure.ni.dll,,,,,,,,
2557,2020-05-12 14:54:29.793,1520,7,,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.1911.3-0\MpOAV.dll,,,,,,,,
2558,2020-05-12 14:54:29.793,1520,7,,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,C:\Windows\System32\crypt32.dll,,,,,,,,
2559,2020-05-12 14:54:29.793,1520,7,,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,C:\Windows\System32\msasn1.dll,,,,,,,,
2560,2020-05-12 14:54:29.777,1520,7,,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,C:\Windows\System32\wintrust.dll,,,,,,,,
2561,2020-05-12 14:54:29.777,1520,7,,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,C:\Windows\System32\userenv.dll,,,,,,,,
2562,2020-05-12 14:54:29.777,1520,7,,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,C:\Windows\System32\amsi.dll,,,,,,,,
2563,2020-05-12 14:54:29.777,1520,7,,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,C:\Windows\System32\psapi.dll,,,,,,,,
2564,2020-05-12 14:54:29.777,1520,7,,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,C:\Windows\System32\umpdc.dll,,,,,,,,
2565,2020-05-12 14:54:29.777,1520,7,,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,C:\Windows\System32\powrprof.dll,,,,,,,,
2566,2020-05-12 14:54:29.777,1520,7,,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,C:\Windows\System32\profapi.dll,,,,,,,,
2567,2020-05-12 14:54:29.777,1520,7,,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,C:\Windows\System32\windows.storage.dll,,,,,,,,
2568,2020-05-12 14:54:29.777,1520,7,,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,C:\Windows\System32\SHCore.dll,,,,,,,,
2569,2020-05-12 14:54:29.777,1520,7,,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,C:\Windows\System32\cfgmgr32.dll,,,,,,,,
2570,2020-05-12 14:54:29.777,1520,7,,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,C:\Windows\System32\shell32.dll,,,,,,,,
2571,2020-05-12 14:54:29.761,1520,7,,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,C:\Windows\System32\clbcatq.dll,,,,,,,,
2572,2020-05-12 14:54:29.746,1520,7,,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,C:\Windows\assembly\NativeImages_v4.0.30319_64\System.Manaa57fc8cc#\fd5a04744efb26acf510552006f36d40\System.Management.Automation.ni.dll,,,,,,,,
2573,2020-05-12 14:54:29.746,1520,7,,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,C:\Windows\System32\cryptbase.dll,,,,,,,,
2574,2020-05-12 14:54:29.746,1520,7,,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,C:\Windows\System32\bcrypt.dll,,,,,,,,
2575,2020-05-12 14:54:29.746,1520,7,,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,C:\Windows\System32\rsaenh.dll,,,,,,,,
2576,2020-05-12 14:54:29.746,1520,7,,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,C:\Windows\System32\cryptsp.dll,,,,,,,,
2577,2020-05-12 14:54:29.730,1520,7,,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,C:\Windows\assembly\NativeImages_v4.0.30319_64\Microsoft.Pb378ec07#\a8033515fbc2e633dd7b1970a928cc0f\Microsoft.PowerShell.ConsoleHost.ni.dll,,,,,,,,
2578,2020-05-12 14:54:29.730,1520,7,,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,C:\Windows\assembly\NativeImages_v4.0.30319_64\System.Core\2a6c39230fef9dfafc7ede45f99ec776\System.Core.ni.dll,,,,,,,,
2579,2020-05-12 14:54:29.730,1520,7,,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,C:\Windows\assembly\NativeImages_v4.0.30319_64\System\01a3608d87251d7ea99342a88d079c23\System.ni.dll,,,,,,,,
2580,2020-05-12 14:54:29.715,1520,7,,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,C:\Windows\assembly\NativeImages_v4.0.30319_64\mscorlib\13f4543f755b32b6ebe0edeb92bb52a8\mscorlib.ni.dll,,,,,,,,
2581,2020-05-12 14:54:29.715,1520,7,,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,C:\Windows\System32\ucrtbase_clr0400.dll,,,,,,,,
2582,2020-05-12 14:54:29.715,1520,7,,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,C:\Windows\System32\ucrtbase_clr0400.dll,,,,,,,,
2583,2020-05-12 14:54:29.715,1520,7,,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,C:\Windows\System32\vcruntime140_clr0400.dll,,,,,,,,
2584,2020-05-12 14:54:29.715,1520,7,,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,C:\Windows\Microsoft.NET\Framework64\v4.0.30319\clr.dll,,,,,,,,
2585,2020-05-12 14:54:29.715,1520,7,,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,C:\Windows\System32\version.dll,,,,,,,,
2586,2020-05-12 14:54:29.715,1520,7,,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,C:\Windows\System32\kernel.appcore.dll,,,,,,,,
2587,2020-05-12 14:54:29.699,1520,7,,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,C:\Windows\System32\shlwapi.dll,,,,,,,,
